id,question,A,B,C,D.,answer,category
388,"Verifique rapidamente se o JDK foi instalado com sucesso, e qual é o comando para visualizar a versão atualmente instalada do JDK?",java -version,javac,java -help,java -Werror,D.,Middleware
389,"Um arquivo chamado fido foi modificado com chmod 551 fido, quais são suas permissões?",#NOME?,#NOME?,#NOME?,-r-xr-x---,B,Middleware
390,Qual dos seguintes é uma solução de armazenamento de dados adequada para armazenamento de dados em larga escala?,MySQL,HDFS,Microsoft Excel,Arquivo txt,D.,Operating system
391,The DNS domain name system is mainly responsible for the resolution between host names and what,IP address,MAC address,website address,host alias,B,Middleware
392,"Qual estrutura o servidor WWW adota, que é o mais amplamente utilizado na Internet?",servidor/estação de trabalho,B/S,centralizado,distribuído,C,Middleware
393,Qual comando o sistema Linux usa para enviar mensagens a outros usuários,less,mesg y,write,echo to,D.,Network 
394,O que é o sistema NFS,document,disk,network file,operate,B,Network 
395,Qual comando pode completar o backup de arquivos em fita no sistema de segurança Linux?,cp,tr,dir,cpio,D.,Middleware
396,Os arquivos necessários para estabelecer roteamento dinâmico são (),/etc/hosts,/etc/gateways,/etc/resolv.conf,/etc/autofs.conf,C,Information security 
397,Qual dos seguintes comandos pode visualizar o tempo de início do sistema atual (),w,top,ps,uptime,A,Middleware
398,"tgz é descomprimido para a diretório /tmp, os usuários podem usar o comando",tar xvzf myftp.tgz --C /tmp,tar xvzf myftp.tgz --R /tmp,tar vzf myftp.tgz --X /tmp,tar xvzf myftp.tgz /tmp,A,Middleware
399,"Após executar chmod(""/usr/test/sample"",0753) no sistema Unix, a autoridade de acesso do arquivo sample é:","O proprietário pode ler, escrever e executar, usuários no mesmo grupo podem escrever e executar, e outros usuários podem ler e executar","O proprietário pode ler, escrever e executar, usuários no mesmo grupo podem ler e escrever, e outros usuários podem ler e executar","O proprietário pode ler, escrever e executar, usuários no mesmo grupo podem ler e executar, e outros usuários podem escrever e executar","O proprietário pode ler, escrever e executar, usuários no mesmo grupo podem ler e executar, e outros usuários podem ler e escrever",A,Operating system
400,() não pode ser usado para comunicação de processo no Linux,Memória compartilhada,Pipe nomeado,Sinal,Seção crítica,C,Operating system
401,"Em um sistema distribuído, se um serviço falha, você suspeita que pode ser um problema com o próprio serviço ou com outros componentes dos quais ele depende. Qual dos seguintes práticas ajudará a determinar a causa raiz do falha?",Observar o uso do CPU e memória do sistema,Reiniciar aleatoriamente todos os outros serviços,Usar ferramentas de rastreamento distribuído para visualizar a cadeia de chamada entre serviços,Ignorar o log de erro e modificar o código diretamente,D.,Operating system
402,"Quando não há condições de estabelecer um servidor DNS na intranet e você não deseja usar IP para acessar o site, qual arquivo deve ser configurado?",hosts,sysconfig,network,hostname,A,Software architecture
403,Qual dos seguintes comandos sobre linux para verificar o uso do sistema está incorreto?,O comando uptime é principalmente usado para obter o tempo de execução do host e consultar informações como o uso do sistema Linux,O comando vmstat pode ver o uso do CPU,O comando sar pode ver informações da interface de rede,O comando free pode ver o uso do disco,A,Middleware
404,Qual dos seguintes métodos/comandos não pode verificar se um IP é acessível?,telnet,ping,tracert,top,D.,Database
405,Como um diretório existe no sistema de arquivos Linux?,pasta,documento,inodes,link simbólico,D.,Middleware
406,Which of the following commands is not used to view network faults?,telnet,ping,init,netstat,B,Middleware
407,O arquivo de configuração para o servidor Samba é:,httpd.conf,inetd.conf,rc.samba,smb.conf,B,Software architecture
408,"Na descrição a seguir da chamada de sistema, o erro é:",As chamadas de sistema transmitem os pedidos de aplicativos para o núcleo do sistema para execução,"O processo chamado na chamada de sistema roda em ""modo usuário""",Vários serviços fornecidos pelo sistema operacional podem ser obtidos através do uso de chamadas de sistema,É a interface fornecida pelo sistema operacional para os programadores,C,Software architecture
409,Qual variável é usada para especificar a qual servidor X um aplicativo X remoto envia saída,TERM,DISPLAY,ECHO,OUTPUT,D.,Operating system
410,As permissões de arquivo do Linux têm um comprimento total de 10 dígitos e são divididas em quatro seções. O conteúdo indicado pela terceira seção é ( ).,tipo de arquivo,permissões do proprietário do arquivo,permissões do grupo de proprietários do arquivo,permissões para outros usuários,A,Software architecture
411,"Você alterou o GID do grupo de vendas ao editar o arquivo /etc/group. Todos os membros do grupo conseguem converter com sucesso, exceto Jack, que não consegue nem logar. Qual é o motivo?",Jack esqueceu a senha do grupo,Jack precisa ser adicionado ao grupo novamente,O GID de Jack está especificado em /etc/passwd,A conta de Jack precisa ser deletada e depois criada,B,Application
412,"Em uma arquitetura de microsserviços, você deseja otimizar o desempenho da comunicação entre os serviços. Qual das seguintes estratégias alcançaria melhor esse objetivo?",Implantar todos os serviços no mesmo servidor,Substituir toda a comunicação assíncrona por comunicação síncrona,Otimizar a interface do serviço e reduzir a quantidade de dados transmitidos,Ajustar aleatoriamente a ordem de implantação dos serviços,B,Network 
413,"Entre os parâmetros de carregamento do sistema de arquivos especificados no arquivo /etc/fstab, os parâmetros são geralmente usados para dispositivos móveis como CDs-ROM.",defaults,sw,rw e ro,no auto,D.,Network 
414,"Entre as seguintes funções, a que não pertence à mesma categoria que as outras funções é ____.",read,spread,write,fseek,B,Network 
415,"In a Linux environment running on a multi-core processor, if the critical section is very short and thread context switching is not allowed, which of the following mechanisms should be used to meet the above requirements and have the best performance?",SpinLock,Mutex,Semaphore,Condition variable,A,Network 
416,"No sistema Linux, qual é o comando para conceder permissão executável a um arquivo?",chown,mv,sudo,chmod,C,Network 
417,"Existe um arquivo ip.txt, cada linha possui um registro de ip, e há várias linhas no total. Qual dos seguintes comandos pode realizar ""contar os 3 ips com mais ocorrências e seus tempos""",uniq -c ip.txt│sort -nr│head -n 3,sort ip.txt│uniq -c│sort -rn│head -n 3,cat ip.txt │count -n│sort -rn│head -n 3,cat ip.txt │sort │uniq -c │sort -rn │top -n 3,B,Network 
418,A chamada de sistema do Linux refere-se a:,chamadas iniciadas pelo kernel,Funções na biblioteca glibc,Programas executados pelos administradores de sistema,É a interface para o processo de usuário chamar a função do kernel,A,Information security 
419,"Em relação ao processo do Linux, as seguintes afirmações estão incorretas:","O processo zombie será assumido pelo processo init, que não causará desperdício de recursos;","O processo pai do processo órfão sai antes dele, e será assumido pelo processo init, que não causará desperdício de recursos;","Um processo é a menor unidade de gerenciamento de recursos, e um thread é a menor unidade de execução de programas. Threads sob o Linux são essencialmente implementadas com processos;","Se o processo filho lê apenas o recurso, ele compartilha completamente o espaço de endereço físico com o processo pai.",D.,Infrastructure
420,Quais parâmetros de conexão precisam ser adicionados ao compilar um programa multithread usando a biblioteca pthread?,#NAME?,#NAME?,fcond-mismatch,#NAME?,C,Middleware
421,"Para desligar o sistema Linux (sem reiniciar), você pode usar o comando ( ).",Ctrl+Alt+Del,stop,shutdown -r now,reboot,D.,Middleware
422,"Os arquivos do sistema de arquivos do Linux são classificados em diretórios relevantes de acordo com suas funções. Para arquivos de dispositivos externos, eles devem ser colocados geralmente no diretório ( ).",/bin,/etc,/dev,/lib,A,Middleware
423,"No seguinte log do Zookeeper: ""2015-07-29 19:04:29,079 - WARN [SendWorker:188978561024:QuorumCnxManager$SendWorker@679] - Interrupted while waiting for message on queue"", que conclusão você tira?",A thread de envio foi interrompida enquanto esperava pela mensagem da fila. Isso pode ser devido à exaustão de recursos do sistema ou a problemas de rede. É necessário verificar o status do cluster do Zookeeper,"A thread de envio foi interrompida enquanto esperava por uma mensagem na fila, mas isso é normal e nenhuma ação é necessária","Este aviso significa que a conexão do cliente do Zookeeper foi interrompida, e a conexão de rede do cliente precisa ser verificada",Este aviso significa que o Zookeeper está executando uma eleição de líder,B,Middleware
424,Todos os sistemas de arquivos atualmente montados no sistema são refletidos no arquivo _____.,/usr/sbin/cfdisk,/sbin/fdisk,/etc/mtab,/etc/fstab,A,Operating system
425,Qual das seguintes afirmações está correta:,Cada thread possui a mesma pilha,i++ é thread-safe e não requer sincronização,x=y é thread-safe e não requer sincronização,"Para um processo, o tamanho de sua memória virtual não é limitado pelo tamanho da memória física",C,Operating system
426,"Existe um arquivo ip.txt, cada linha contém um registro de ip, e há várias linhas no total. Qual dos seguintes comandos pode realizar ""contar os 3 ips com mais ocorrências e seus tempos""?",uniq -c ip.txt | sort -nr | head -n 3,sort ip.txt | uniq -c | sort -rn | head -n 3,cat ip.txt | count -n | sort -rn | head -n 3,cat ip.txt | sort | uniq -c | sort -rn | top -n 3,A,Operating system
427,"Se você precisa descobrir a qual pacote o arquivo /etc/my.conf pertence, você pode executar: ()",rpm -requires /etc/my.conf,rpm -q /etc/my.conf,rpm -q|grep /etc/my.conf,rpm -qf /etc/my.conf,B,Operating system
428,A seguinte descrição do link está errada.,Um link rígido é fazer o número do i-node do arquivo linkado apontar para o i-node do arquivo linkado.,Tanto os links rígidos quanto os links simbólicos geram um novo i-node.,Os links são divididos em links rígidos e links simbólicos.,Os links rígidos não podem linkar arquivos de diretório.,B,Network 
429,A permissão após executar chmod 644 mm.txt é (),#NAME?,rw-r--r--,#NAME?,rwxr- -rw-,A,Network 
430,Qual dos seguintes não é um tipo de processo do sistema Linux é ( ).,processo interativo,processo em lote,processo daemon,processo pronto,A,Operating system
431,O protocolo arp usa ( ),broadcast,multicast,unicast,Nenhuma das opções acima está correta,A,Information security 
432,"Itens de software são armazenados em /ftproot, que permite que usuários do apache modifiquem todos os programas e definam permissões de acesso?",chmod apache-R/ftproot,chmod apache/ftproot,chgrp apache/ftproot,chown apache/ftproot,D.,Infrastructure
433,"No sistema Linux, para encontrar o conteúdo do arquivo try_grep que contém a linha que começa com a letra a, você pode usar o comando?",grep -E ^a try_grep,grep -E #a try_grep,grep -E ^$ try_grep,grep -E #$ try_grep,D.,Middleware
434,"In a Bash shell script, you're writing a loop that requires the ability to iterate through each element in an array called 'files' and perform the same operation on each element. Which of the following options is the correct loop syntax?",for file in ${files} do echo $file done,for file in ${files[@]} do echo $file done,for $file in ${files[@]} do echo $file done,for ${file} in ${files[@]} do echo $file done,C,Operating system
435,"Existem dois tipos de links no Linux: link rígido (Hard Link) e link simbólico (Soft Link), as seguintes afirmações são corretas ()","Links simbólicos podem ser conectados entre sistemas de arquivos, mas os links rígidos não podem","Quando o arquivo original é deletado, o arquivo de link rígido ainda existe, e o conteúdo permanece inalterado","O link rígido é deletado, e os arquivos de dados no disco serão deletados ao mesmo tempo","Links rígidos reconstruirão um inode, links simbólicos não",B,Network 
